iter	Passed	Remaining
840	651	510
841	652	509
842	653	508
843	653	508
844	654	507
845	655	506
846	656	505
847	657	505
848	657	504
849	658	503
850	659	502
851	659	501
852	660	501
853	661	500
854	662	499
855	662	498
856	663	497
857	664	496
858	664	496
859	665	495
860	666	494
861	667	493
862	667	492
863	668	492
864	669	491
865	669	490
866	671	489
867	672	489
868	672	488
869	673	487
870	674	487
871	675	486
872	675	485
873	679	487
874	680	486
875	681	485
876	682	484
877	683	484
878	684	483
879	685	482
880	686	482
881	687	481
882	687	480
883	688	479
884	689	479
885	690	478
886	691	477
887	692	476
888	692	476
889	693	475
890	694	474
891	695	473
892	695	473
893	696	472
894	697	471
895	698	470
896	699	470
897	699	469
898	700	468
899	701	467
900	702	466
901	702	466
902	703	465
903	704	464
904	705	463
905	705	462
906	706	461
907	707	461
908	707	460
909	708	459
910	709	458
911	710	457
912	711	457
913	711	456
914	712	455
915	713	454
916	713	453
917	714	453
918	715	452
919	716	451
920	716	450
921	717	449
922	718	449
923	719	448
924	719	447
925	720	446
926	721	446
927	722	445
928	723	444
929	723	443
930	724	442
931	725	441
932	725	441
933	727	440
934	727	439
935	728	439
936	729	438
937	730	437
938	730	436
939	731	435
940	732	435
941	733	434
942	733	433
943	734	432
944	735	431
945	736	431
946	736	430
947	737	429
948	738	428
949	739	427
950	744	429
951	745	429
952	746	428
953	747	427
954	747	426
955	748	426
956	749	425
957	750	424
958	750	423
959	751	422
960	752	421
961	752	420
962	753	420
963	754	419
964	754	418
965	755	417
966	756	416
967	757	416
968	757	415
969	758	414
970	759	413
971	760	412
972	760	412
973	761	411
974	762	410
975	763	409
976	764	409
977	765	408
978	766	407
979	767	407
980	767	406
981	768	405
982	769	404
983	770	403
984	770	403
985	771	402
986	772	401
987	773	400
988	774	400
989	775	399
990	775	398
991	776	397
992	777	397
993	778	396
994	779	395
995	779	394
996	780	393
997	781	393
998	782	392
999	782	391
1000	783	390
1001	784	389
1002	785	389
1003	785	388
1004	786	387
1005	787	386
1006	788	385
1007	788	384
1008	789	384
1009	790	383
1010	791	382
1011	792	381
1012	793	381
1013	793	380
1014	794	379
1015	795	378
1016	796	378
1017	796	377
1018	797	376
1019	798	375
1020	799	375
1021	800	374
1022	801	373
1023	801	372
1024	802	371
1025	803	371
1026	804	370
1027	804	369
1028	805	368
1029	806	368
1030	807	367
1031	808	366
1032	809	365
1033	810	365
1034	810	364
1035	811	363
1036	812	362
1037	813	361
1038	813	361
1039	814	360
1040	814	359
1041	815	358
1042	816	357
1043	817	356
1044	818	356
1045	818	355
1046	819	354
1047	820	353
1048	820	352
1049	821	352
1050	822	351
1051	823	350
1052	823	349
1053	824	348
1054	825	348
1055	826	347
1056	826	346
1057	827	345
1058	828	344
1059	828	343
1060	829	343
1061	830	342
1062	831	341
1063	832	340
1064	832	340
1065	833	339
1066	834	338
1067	835	337
1068	835	336
1069	836	336
1070	836	335
1071	837	334
1072	838	333
1073	839	332
